"","District","Epiweek","Epiyear","DISTCODE","SQKM","Province","Region","u5total","XCOORD","YCOORD","cases","IRSyear","IRSepiWeek","raint","tavg","rh","sd","psfc"
"119","NAMAACHA",12,2013,1008,2151671.447,"MAPUTO","Southern",5789,32.161518,-26.060371,81,NA,NA,2.98,22.3457142857143,92.0428571428571,1.57142857142857,945.667142857143
"120","NAMACURRA",8,2012,414,2020684.602,"ZAMBEZIA","Coastal",31531,37.072915,-17.481231,781,NA,NA,1.54,22.4685714285714,91.6671428571428,1.67857142857143,943.081428571429
"121","NAMAROI",48,2013,415,3060926.893,"ZAMBEZIA","Center",24884,36.807057,-15.855276,418,NA,NA,0.36,23.2428571428571,75.16,5.24571428571429,946.022857142857
"122","NAMUNO",4,2012,213,5981052.007,"CABO DELGADO","Northern",37636,38.894539,-13.743559,1647,NA,NA,60.91,22.8742857142857,94.0057142857143,1.23857142857143,938.162857142857
"123","NANGADE",4,2012,214,2966879.255,"CABO DELGADO","Northern",9207,39.775698,-11.160008,642,NA,NA,60.91,22.8742857142857,94.0057142857143,1.23857142857143,938.162857142857
"124","NGAUMA",32,2013,114,3005157.447,"NIASSA","Northern",15644,35.573688,-13.821497,291,NA,NA,0,18.7114285714286,68.4828571428571,5.11428571428571,951.248571428571
"125","NHAMATANDA",24,2014,713,4015865.318,"SOFALA","Center",42926,34.240418,-19.333997,413,2013,22,0,17.4685714285714,89.9271428571429,1.50428571428571,951.678571428571
"126","NICOADALA",12,2012,416,3380969.157,"ZAMBEZIA","Coastal",32976,36.742299,-17.614518,1334,NA,NA,0.83,22.7285714285714,90.2771428571429,1.97857142857143,945.855714285714
"127","NIPEPE",32,2013,115,5000474.728,"NIASSA","Northern",6326,37.903566,-13.987139,95,NA,NA,0,18.7114285714286,68.4828571428571,5.11428571428571,951.248571428571
"128","PALMA",4,2012,215,3522638.476,"CABO DELGADO","Coastal",7002,40.32058,-10.865417,268,NA,NA,60.91,22.8742857142857,94.0057142857143,1.23857142857143,938.162857142857
"129","PANDA",4,2014,812,6843481.364,"INHAMBANE","Southern",8137,34.401541,-24.014515,1466,NA,NA,6.35,23.6085714285714,91.94,1.73857142857143,943.382857142857
"130","PEBANE",4,2011,417,10102216.57,"ZAMBEZIA","Coastal",33310,38.540059,-16.719077,685,NA,NA,9.64,23.4128571428571,93.3257142857143,1.41857142857143,941.238571428571
"131","PEMBA",20,2015,216,1588406.057,"CABO DELGADO","Coastal",12689,40.313068,-12.896067,197,NA,NA,0,18.1514285714286,78.2114285714286,3.28714285714286,950.848571428571
"132","QUISSANGA",16,2015,217,2117984.278,"CABO DELGADO","Coastal",6542,40.322755,-12.572696,153,NA,NA,0,22.1957142857143,84.7257142857143,2.99857142857143,948.055714285714
"133","RIBAUE",44,2016,321,6248565.217,"NAMPULA","Northern",44301,38.195856,-15.006763,1087,NA,NA,0.31,27.4071428571429,41.3428571428571,16.0342857142857,945.692857142857
"134","RIBAUE",48,2011,321,6248565.217,"NAMPULA","Northern",40994,38.195856,-15.006763,1114,NA,NA,0.12,24.1585714285714,74.8242857142857,5.76142857142857,945.482857142857
"135","SANGA",32,2013,116,12496576.4,"NIASSA","Northern",12773,35.560348,-12.176449,540,NA,NA,0,18.7114285714286,68.4828571428571,5.11428571428571,951.248571428571
"136","SUSSUNDENGA",44,2013,609,7112882.139,"MANICA","Center",29586,33.264745,-19.670789,814,NA,NA,0.52,25.83,55.61,11.3085714285714,945.111428571429
"137","TAMBARA",20,2012,610,4284691.952,"MANICA","Center",10927,34.105076,-16.963363,644,NA,NA,0,18.3871428571429,89.0971428571429,1.68,949.972857142857
"138","TSANGANO",12,2013,512,3662226.173,"TETE","Center",39318,34.344551,-15.125688,726,NA,NA,2.98,22.3457142857143,92.0428571428571,1.57142857142857,945.667142857143
"139","VILANKULO",24,2013,813,5853695.806,"INHAMBANE","Coastal",24785,35.126772,-22.300894,428,NA,NA,0,17.8257142857143,86.8442857142857,1.98571428571429,951.508571428571
"140","ZAVALA",4,2014,814,2011187.356,"INHAMBANE","Coastal",26924,34.668897,-24.650625,722,NA,NA,6.35,23.6085714285714,91.94,1.73857142857143,943.382857142857
"141","ZUMBO",16,2013,513,11995843.61,"TETE","Center",14576,30.933202,-15.231061,556,NA,NA,0,20.6971428571429,86.45,2.46714285714286,947.027142857143
